Date,AAPL,ABBV,AEP,AMZN,AXP,BA,BAC,BLK,C,CAT,COP,COST,CSX,CVX,DIS,DUK,EOG,EXC,FDX,GD,GE,GOOGL,GS,HD,HII,HON,JNJ,JPM,KO,LHX,LLY,LMT,MA,MCD,MDT,META,MMM,MPC,MRK,MS,MSFT,NEE,NFLX,NKE,NOC,NSC,NVDA,OXY,PEP,PFE,PG,PYPL,RSG,RTX,SBUX,SLB,SO,SPGI,SRE,T,TDG,TMO,TSLA,UNH,UNP,UPS,V,VLO,VZ,WFC,WM,WMT,XOM
2021-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-25,0.004154719842654551,0.007925086798023763,-0.0031822087294921452,-0.013307791454017294,0.027504297549767225,0.032690026430243616,0.020386775298157894,0.00655096784219815,0.023132400853389423,0.013558634484196724,0.006742718033034957,0.024256455993799213,0.014443512824810899,0.0035276558570870487,0.01178607780962063,0.012005290184757584,0.006869298150810258,0.010197056413900424,0.02171631320649976,0.020422352425736902,0.02761521873906844,-3.451676640921195e-05,0.0057649166828856084,0.015018883992628086,0.030540782518106775,0.007791557151136823,0.00037054898802156707,0.012732710131777193,0.00965820895201863,0.01343260392814686,0.016077077866457522,0.014219341278776972,-0.0035933989310469113,0.0006693720958705634,0.01034672595097222,-0.012124095178958369,0.012559369744207616,0.01326507719153563,-0.0022322065979933727,0.010033870551143699,-0.01333934209662347,0.008477089325389452,-0.03507352916874919,-0.03453358238735742,0.01619602584296502,0.013864191095400095,-0.008559178857933206,-0.013393064765138029,0.005890046767167182,0.001683406380213121,0.006916382941024695,-0.00012802467730788875,0.008818804185303548,0.025869967455963042,0.022419983156530238,-0.0007298259871309437,0.01130516168797241,-0.0013937963037359688,0.01546469602813163,0.0029967330603928376,-0.011195734687216428,-0.006939558890149662,0.015929083234572167,0.001321332218292149,0.014872409753431447,0.020671326372671064,-0.000480723122751506,0.008876448732538374,0.006468918088967685,0.03048564089190588,0.020694543476262803,0.006738724516359832,-0.002844039589899405
2021-03-26,0.005128255573328486,0.020014214916656104,0.003182208729492005,0.0018923206745425616,0.010139470126638631,-0.009429844032586317,0.02672437001270896,0.03961707777433623,0.017963567439021617,0.023141480773251,0.02707103281347778,0.016267110842605216,0.021946802713261732,0.022677971774974708,-0.005310836970777906,0.0031354319329313456,0.024879385474281625,0.00368257727824063,0.0257790168431759,0.008185943866286838,0.010835942736318181,-0.0038104431248708304,-0.009605963951542814,0.02206486809436264,0.01497667082699251,0.021508312594160063,0.01810974016479053,0.016513069804266273,0.019418046574557167,0.001660144668782751,0.012052227611455994,0.00961522968185577,0.021477731825744077,0.004494738685105905,0.016841355815652652,0.015238117062816643,0.00917544837090036,0.020937500823445306,0.01720352211258019,-0.0018736069317294133,0.017661971588684704,0.008270475527406552,0.010268086558071522,0.033256291346888296,-0.006779002379463849,0.018155027258300083,0.02396238630009182,0.038932477630546254,0.02174819825774262,0.016129306152805414,0.014651004442389386,0.0285751120772687,0.021959090947020494,0.008220950281679391,0.023476308796747333,0.03267208408541353,0.004551528144271248,0.0232125223088017,0.00881756236640581,0.007617247667963771,0.0003751738181827836,0.03939113378881353,-0.034440713289359076,0.014420224682641274,0.0311178367247501,0.028562421688590644,0.02638341627436025,0.009482697015739183,0.013845889710032176,0.011637036664149001,0.01842752188592956,0.008322643460658745,0.026869523827783705
2021-03-29,0.0014839607134773923,0.007051689146791215,0.00995150768951356,0.007735312514846097,-0.009506944221518925,0.022811337176676213,-0.009611685450113466,0.001267524101300629,-0.019918035466913397,0.003132416090087024,-0.022043176462252935,0.01166395930163871,-0.010809585409502017,-0.005223889991154496,-0.005771607488222882,0.018096766170712854,-0.01669858969217265,0.00504099184410819,-0.007563813513127526,0.009648133779324124,-0.0030839948888444165,0.01034755546114871,-0.005083142544776178,-0.005313740392228489,0.020462441103383685,0.0016003884436932376,0.006707748110480237,-0.015661419267730268,0.015156138828470927,0.019414203156347135,0.005543090157777631,0.021912949553238446,-0.008860797478733268,0.009457300403126569,0.005048014689708585,0.027187030518888503,0.0044032450348883275,-0.027454676044688604,0.011690051196540437,-0.026607743370349088,-0.005257552611777672,0.009942369405511301,0.011546119427009017,0.0037525114076528755,0.012862447749363798,-0.007059953165531059,0.008453726543781487,-0.027759145728705255,0.014677997158511936,0.010155242269789916,0.015530242739039477,-0.022488893089845176,-0.00167970181577186,-0.006288125092501687,-0.007031154647155144,-0.021782763273495688,0.01064676967057094,0.006072821909835486,0.00037817066897380793,0.008214172078837727,-0.012456995861873621,-0.0032439915689997842,-0.012065159218404247,0.0068295270161318955,0.00026906599451955885,0.0009519301875063459,0.004578976418331092,-0.01724564986305021,0.011110302037019444,-0.03376316194009238,0.004151524105023923,0.011332067959160528,-0.00538599681948763
2021-03-30,-0.012350396099313639,0.0005621104487334108,-0.01301545608986774,-0.006667777807782873,0.007835942266155384,0.005929972754786671,0.017593945305466548,-0.011412540766278224,0.01909593558857257,0.012346106453988854,-0.007644420876459717,-0.018133204094026613,-0.002487369584923993,-0.009302533915470661,0.0036718950077375147,-0.013827525730111975,-0.005173367646685895,-0.005730552826410926,0.023712313026036203,-0.006568100066595933,0.026668237529004477,0.0003324161030532991,0.019096193336016424,0.0086325102106073,-0.008183570305074743,-0.0036158943013071057,-0.0062226861762218165,0.011720184706768937,-0.013084339963006368,0.0011825045721845582,-0.004518229256273912,-0.006054040053468565,-0.013063461970091193,-0.010479359592600084,-0.002773340114319947,-0.009744011606080493,-0.005635426654818196,0.00130696630254047,-0.017262002162854694,0.015417546694770164,-0.014515556340465533,-0.0077843615802990745,-0.0010901894362842762,-0.0040535790487581345,-0.0014551829504498028,-0.0025863232245488085,-0.00592570178419638,0.012147929531383555,-0.01579982006545726,-0.01402461356628805,-0.015530242739039505,0.003684798543307684,-0.006847024267261089,0.001800598545796378,0.010391978461791672,-0.01748042933436591,-0.012595048496254512,-0.025081363431658246,-0.0047010165045261645,0.005547472666800031,0.009365931615990778,-0.01560392954672162,0.039029424523405194,-0.014615838869698906,-0.008331032537347542,0.002969052741474903,-0.01224184403139367,-0.001113495885227454,-0.004087944982110028,0.02441366739126458,-0.008166017103076876,-0.006827995093556611,-0.012446426332826319
2021-03-31,0.018591671917859015,0.013301801031938095,-0.0003541747589703834,0.012616087083554913,-0.011388684906821945,0.010696159981982114,-0.007723720310612764,0.00625313120096142,-0.002882339929824044,-0.005204581898789613,-0.008646804780164113,0.007775078153960924,0.0005187309751960136,-0.010820083426795243,-0.005458781011905776,0.0030088888945442225,-0.01001459873724264,0.005501980530535382,-0.006596990227337522,-0.002969801763792416,-0.012864340631541979,0.007812025193187789,-0.015204985219366642,0.0014094109979763318,0.0008747649508186467,-0.004687826947156652,-0.004007478696066832,-0.014671591485215785,-0.00831299074386636,-0.001971646243851336,0.007090766674058398,-0.002810756043734916,-0.006020243850925341,-0.003740420330053716,-0.0059083073715540686,0.02242018062168947,-0.010120999599416536,-0.0020543180338657755,0.0016880190012832704,-0.018246182757547896,0.01676607966069382,0.018555060915788707,0.015980237762455655,-0.00045133794228069814,0.0029707137452584785,-0.0065701879868934505,0.03635028436773212,-0.026321956149344742,-0.007676151892485429,0.0033176163189942757,-0.00014787603644014446,0.026285456479644278,-0.006571241655718442,-0.007092720745636601,-0.009109946796022924,-0.00110251953148294,0.010024423524443153,0.00025517031088528896,0.00764706258829821,-0.015082364382400416,0.0056116155539904945,0.01081675040136871,0.04958242699342897,-0.003996206563685329,-0.003261372988792521,0.007973598711184983,-0.0008025949229852331,-0.00251090594581606,-0.00753790002655369,-0.00815696597262465,-0.002012858793482861,0.0006627918089397438,-0.015286641524182997
2021-04-01,0.006934620518152428,0.0027682876155122435,0.009868712961582498,0.021397878158709596,0.021888396942835286,-0.006933507445969212,0.020466279804007156,0.01692589447398013,0.005346490498378099,0.003745049883744401,0.0196286057914274,0.006954711138253039,0.008674283528988932,0.009119707927056563,0.023830382012145226,-0.0025935301624112027,0.03801069736969021,0.003879149773351517,-0.0017618496801749368,-0.00402876038810782,0.01135944324161057,0.032090312064922924,0.0019553803484942877,0.008156864801924325,-0.00790090311872673,-0.0012448332867562683,-0.009291946007148614,0.009675064095138339,-0.003801744202631514,0.00462715928841849,-0.008493153834287365,0.004105295824084215,0.02015764312641275,0.004762479519527328,0.000507813596614871,0.01392503245862649,0.00010403065476263298,0.042279018246541365,0.0,0.007185184237247353,0.027526283255026113,0.002113815330917136,0.033478471454359386,-0.0027126864790858463,-0.004335198803909426,0.009857277578343725,0.034134594632625866,0.028149806281688273,-0.0012026246660770475,0.001930250400623449,-0.008527550491310746,0.019169447924859674,0.0037173603692666614,0.00012963344340144865,0.00100629293758383,0.03292016062752472,0.002731185063577472,0.02733841033555861,-0.005900593672207996,0.006585644690652797,0.026503188470422413,-0.00017522794166549725,-0.00929552576717066,-0.013529721343408315,-0.0009077890265197812,0.00755992165021061,0.02394003293011552,0.050385159848587116,0.0025761435773287056,0.014231293766754836,0.002012858793482946,-0.0015472582035913904,0.02755879537675654
2021-04-05,0.023303442377010618,-0.022175614271046713,0.008729261580234519,0.020580800847156144,0.010253868177705598,0.024985601505812263,0.007819386319129698,0.02216936640203435,-0.005346490498378153,0.004158981366801425,-0.03408056567779381,0.01643092013019738,0.013379120485037348,-0.01179529372654524,-0.0024902453896588493,0.006728569108402549,-0.04826589724138647,0.012897581840417586,-0.00697243241406977,0.025982354083569692,0.013463002555042495,0.041019777335560975,-0.012592972116011816,0.0245541152400435,0.016366310637943027,0.011328746182261202,0.0036785706199291154,0.005286562019855387,0.005697042354990053,0.020561115583559112,-0.0018916806255164821,0.020620355428037876,0.013723247312658416,0.016033497069548503,0.017279574823198272,0.033744293733953504,0.011710967673930326,-0.033530592498295445,-0.0011683764057039405,-0.002816666776205061,0.02735096214665045,0.01324155940818106,0.002314622905481055,0.019354015385035138,0.02576380459668406,0.012641926868578297,0.012644330761595112,-0.07861318216907162,0.01321919788734956,-0.0005511971540989919,0.016030955902178935,0.01396040564524516,0.013249139271252545,0.008119194674361674,0.01488225387141966,-0.019766934330756346,0.005280331073809495,0.012386878760277328,0.015359359479071381,0.007845488307672613,9.937505021786971e-05,0.01972529978938299,0.043324388497766333,0.008436502990449948,0.014695281478259464,0.0039041686000833944,0.01000248245377835,-0.009071786849856074,0.009729478275889257,-0.003792115191546266,0.013140804888034926,0.027705906181069495,-0.015629322746354965
2021-04-06,0.002459264105620205,-0.0071858764171374625,0.005547418711066725,-0.0009022971624071701,0.0006157573824251597,-0.01628701898243062,-0.0027676556116115474,-0.002950639094271937,-0.002064127255909385,-0.013223178681659913,0.007062098724404336,-0.0019422517261119773,-0.014922789592033667,-0.008938476541407022,0.006503948042632621,0.006581157651948932,0.007079347330240436,0.0017969617633639618,0.0021289557189356433,-0.0025894854348395275,-0.0044672857184947555,-0.00438094304207911,0.010821107354230182,-0.005149846593375805,-0.0011083939560782136,-0.00036483580564005444,-0.00024506126143375505,-0.007055318773822811,0.007169882402296651,0.007047457676821423,-0.011368205663110335,0.0005806382481782705,0.0033880533114946853,0.01328252897728912,0.007456426202040397,-0.00861545008988661,-0.0006667761196645627,-0.005202784975436714,-0.015839016667570326,0.013877665296505593,-0.004869866505567906,0.010107878923082928,0.007113884969551286,0.014984935032512444,0.0015410245386764288,-0.012494538542603559,-0.009048831984202114,0.0015792455973085212,0.003555933220683195,-0.006359818086971728,0.00036637908823502796,0.008607588110358647,0.005231245094534378,-0.005147758473437541,0.019004114919041783,-0.0040005559998545805,0.007155995905250026,-0.0036016622498659195,0.0029843138023698365,0.008753590777359065,0.017420203269369595,0.00717246237324635,0.0008244361718844317,-0.015819157176445112,-0.010661961972648328,0.005914360843883561,-0.0017821348512014569,-0.005913913551476947,0.004068362748063147,0.009328172847253874,0.004645868835778276,0.004793930345252599,-0.002835892191788989
2021-04-07,0.013301621684496535,-0.001614425154236026,-0.0009223122012554028,0.01709045911872312,0.006683081314873482,-0.010201945058335042,0.009029556946036875,0.008014249902111008,0.0012392251814847596,-0.0009976521239825477,-0.003810937464326744,-0.00364401540763934,-0.0016488490974634232,0.005871821072968554,-0.01150312035979964,0.0025589047223689584,0.01373606849310893,0.00871398577020426,-0.010903672957793174,-0.001730179696071986,-0.0007463746777520168,0.013385092756152081,-0.001560640879628931,-0.004183532597421204,-0.01134821050272975,-0.0031529130296666015,0.0013455370829666736,0.015546838684270342,0.0016908390762809427,-0.003206006349696434,-0.002629097484478419,0.003214049165441926,0.0040774582215434615,0.0030138379715892675,-0.004301400969773172,0.02205619175987639,0.0005640688524408574,0.0057583497931353944,0.004344895067705761,-0.0006322799734304705,0.008196778464325006,-0.0019358571185242315,0.004507523688445108,-0.00453040076905536,0.008449841359195772,0.0009583684128675464,0.020139804149740894,-0.0019745273523772457,-0.0018113327462156805,-0.003890879813841485,0.0017565256360609158,0.009473537913982439,0.007844647355405816,0.0011606187315257865,0.0003533478497537081,-0.0032855523003433025,-0.004924278206527595,-0.012791575392663427,-0.00537777907785534,-0.0016152057025132873,-0.012991210256284138,-0.005047538076214898,-0.03031223705748461,0.003479247509254079,0.0010850665105249426,-0.005914360843883568,0.002831613539994445,0.0030957027197036514,-0.0018625190650912132,0.003506967497031904,0.006136356635580971,-0.0021437016135855825,0.0044275952473505804
