Date,AAPL,ABBV,ADBE,AEP,AMAT,AMD,AMGN,AMZN,ASML,AVGO,AXP,BA,BAC,BMY,C,CAT,CL=F,CMCSA,COP,COST,CRM,CVX,DIS,DUK,EOG,EXC,GC=F,GE,GOOGL,GS,HD,HON,INTC,JNJ,JPM,KO,LLY,LMT,LRCX,MA,MCD,MDT,META,MRK,MS,MSFT,MU,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,PYPL,QCOM,RTX,SBUX,SLB,SO,SRE,T,TMO,TSLA,TXN,UNH,V,VZ,WFC,WMT,XOM,^TNX,^VIX
2023-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-18,0.0074767486769226925,-0.009913622178371752,-0.0009795906224135322,-0.008828592440739105,-0.004662593687228339,-0.0010019924748226158,-0.008013660879859634,-0.004291801457498827,0.0066907470239414525,0.007874949719426117,0.004206011305701775,0.016159018207555432,0.0062366833523893675,-0.0052544997882459105,0.007818045716629985,-0.0001776948445001712,0.0003710653619657546,0.004714452989472963,-0.006269098452815419,0.005974781746945662,0.007179315132795315,-0.0023428462834709633,0.0062614730265120365,-0.010213655739365179,-0.014847208930563745,0.004209709605666202,0.006597421632108531,0.017414968963638013,-0.013969005377472457,-0.017132884974205377,0.011946128198771612,-0.004711435672541227,-0.009692117277056116,-0.02853135173104355,0.011165350046691514,0.0015747051043791724,-0.006574510989884842,0.023753655908262283,0.005485568490698538,-0.00118114279091164,0.00551490294335877,-0.005739512487633544,-0.004441911996402453,-0.0015661749081418144,0.006252153960317966,-0.0014898912790819727,-0.009801649251030595,-0.003060313628591861,0.002941077575939235,0.00015850453151693942,0.024329490880009002,0.009163870783744033,0.002058197052936422,-0.015416860094177162,0.0010585862824520733,0.013812334795216288,-0.011837514758054543,-0.008580802907715615,0.01492080866047312,-0.003699857297334177,0.002110592219557443,0.003312307982997823,0.006688503036904074,0.001514466809966473,-0.0063744104673343445,-0.014703352511066695,0.0014984453400634986,-0.001723129887452625,0.0005139795187047256,-0.013265297612091508,0.013707198495835507,0.0022045605388795104,0.019340998338198915,-0.005305067062253562,-0.007104875168132019
2023-04-19,0.006943950135331313,0.010099807139816858,0.006757668060644085,0.01150509933279355,-0.008393124402313493,0.0017805887302119103,0.0004873870732567459,0.01936168847711433,-0.031148668107817953,0.003441791914330926,0.003339811040046,0.001630438623328405,-0.016496582173010435,-0.0052825064005183366,0.006369556467564382,-0.0024452634569424657,-0.021248104764392216,-0.000522771204180921,0.002949523735980168,-0.001752349779968981,0.0021136450670337583,0.0009377160853666006,-0.021835814869527147,0.01011195104395864,-0.0016821092757053917,0.004424324451845526,-0.006096093088757149,0.005671063979979365,-0.0030668826809275235,0.008885360292858753,-0.006847155116897006,0.00445872185554308,-0.021594982007737743,0.00939619810221198,-0.0012736622373527558,0.001886195332725553,0.0015125357685697874,-0.01254314099772674,-0.008820008515334354,0.0012883745214083107,0.0012368721557027681,0.038678586305784295,-0.010101701822550442,-0.006114626443430757,0.006655607938775274,0.00027740505675757633,-0.0208850421858938,0.008140502458023047,-0.0322185739937305,-0.004287758672080421,0.009496911103675808,-0.006865080141896282,-0.0005955628098227594,-0.007674299822606918,0.0001982513151264144,0.0017749203985604044,-0.01449879281167117,0.0015196600718449854,-0.005461350964788486,-0.006974508904241123,0.008778768749773328,0.003163590980185334,0.012547388259338297,-0.006072816833865372,-0.008482252882593296,-0.020389861131667686,-0.01813144979207448,-0.03690820784013928,-0.004419082128242192,-0.008769950635906708,0.008797970266065653,0.0010672936383256699,-0.003169037301593316,0.00836357573437638,-0.02222986404192645
2023-04-20,-0.005863353485497177,0.003282175498216246,0.0003946089850275617,-0.000321054903693719,0.036047170269150344,0.0018883445329577148,-0.011232231406421886,-0.0047091095790211925,0.01586137214583787,-0.0023352461913641502,-0.01017595379023025,-0.007116493839665323,-0.005336866032144857,-0.0047349097036911095,-0.020040847151926583,-0.010650624474552752,-0.023906574032350608,-0.013688033771727297,-0.014160372305506267,0.019069772185039555,-0.007113460974834584,-0.004874758502113313,-0.006909948443019816,-0.0018309711855012778,-0.004555808127340504,-0.0009299680625580184,0.006195695166983959,0.0073444971364765525,0.010598253313939857,0.005387705345166546,0.00557521062801514,-0.00537303780375578,-0.009353357660956556,0.006439554314069935,-0.0029076537513609843,0.0043872272115183936,0.011646824549380121,-0.009251845568934436,0.06980431773515736,0.005884000035121744,-0.0009273139884993021,-0.016393654169062816,-0.012267757432936177,0.0003502969481992035,-0.00022126557854418161,-0.008145379383469459,0.013266811525540706,-0.002409745091451688,0.006877741495682462,-0.009755570771809703,-0.030056025919952357,-0.010281240302831122,0.0032971781691436045,-0.009739082009757961,0.003659492492692231,-0.04844049063142488,-0.023372409215402967,0.0008431822775477686,-0.012081433857639436,-0.0010270624311572352,-0.01261978792502458,0.002880023949692795,-0.006668236719216293,-0.10988282913060093,-0.024419755760682213,-0.10254036525166675,-0.0026010430352135607,0.0025881512800024846,0.008690715953940907,-0.037212389333249336,-0.013586213695032668,0.00637900885224424,-0.008010140545954298,-0.015951064718584606,0.04223053972525203
2023-04-21,-0.00982929442154344,0.004133723402985863,-0.006834420962458283,0.00437494367298484,-0.008163194508047084,-0.018819870981664103,0.0016417995509174124,0.02989264254702952,0.001419163910284822,-0.00018958690087192884,0.0030576788266336685,-0.010087877795678813,-0.0010038151334031678,0.01371244593276434,-0.007518253701899457,-0.003625359449603705,0.007476211896137108,0.0002650222106934025,-0.014754425552946832,0.0015220041424163662,0.007666165719105673,-0.004307082698966303,0.015179520970150113,0.001424310505191716,-0.008065733940222907,0.005103167943742179,-0.014095679073773076,-0.0025092890587902457,0.0011390816904583772,0.008671746662016939,0.004911460618471236,-0.003411166715706658,-0.018313204975367398,-0.005455656694251649,-0.0019191175443464853,0.001406299994563226,0.027447360558796888,-0.016544646370151583,-0.017878748627727387,0.0006397081440138133,0.0036359154488531747,0.02647600274790527,-0.0008452488329769652,0.010455732142357817,0.00760125990582695,-0.00122411138571501,-0.0053836301606771135,0.003042957881697153,0.008051119899445488,0.008640802876613438,0.0005533859682939305,0.0033687879301592615,0.000431530946955031,0.008993393763005486,0.0340186168886911,0.010900913999182978,0.008121324492718596,-0.007445004116257496,-0.005753579620332219,0.010592854911110079,-0.04265161886795747,0.008047684431282759,-0.0008922104526671095,0.03178420600697281,0.010109050413568481,0.012741333042302827,0.0022623896968688717,-0.007495211078671568,-0.0023472602810542444,0.0034895716199194503,-0.010372719159203448,0.0050214647349167245,0.0031947015204070272,0.007027395586396214,-0.023572076221130268
2023-04-24,0.0018769818051454874,0.010230173997799548,-0.0008742059220215109,0.0034013914571163466,0.0013211331474533754,-0.009772811989489509,0.002416410514820428,-0.007036666520682404,-0.011237263152419833,0.0025878316516418096,-0.01966962087137953,0.0030176718059064713,-0.003689369844669396,0.0007092757363021036,0.0,0.014244105459978297,0.011364476033946481,-0.014142839548318088,0.013501215727616209,0.00996294613471145,-0.020866300414501132,0.013858085365919487,0.0011041249819038039,0.005474930898836724,0.01581499306817232,0.005307720943485046,0.004837975290905525,0.006410951561828444,0.005298553054001893,0.006709294980951181,0.005318286107476668,0.003563654638046268,-0.02134834675455918,0.006066644749843931,0.0013507578907518108,-0.001562713938448057,-0.004918152711047294,-0.0033836457697885114,-0.005448090872585709,-0.0013600557913582348,0.003895613523921803,0.045156408043328614,-0.00046993976040708653,0.00492857492778473,-0.010148031965949213,-0.014060977413841805,-0.026858474286731413,0.0006327067204463491,0.003165911026210957,0.012350762541856157,-0.0028434136757148425,0.003043329388038896,0.00048522707575919,-0.007488885917697526,0.0017926577533702247,0.005914636880581126,0.001481755673394484,-0.003487696244250647,0.002051684824327105,0.010115980489356566,0.008398470254074695,0.006634659038213067,0.0066739563949884855,-0.038606268005680344,0.004572582550470684,-0.015444550452118741,-0.006347197688164525,0.010526803934534085,-0.005526918438228426,-0.00591244170606249,0.005079203344587407,0.006765340668149826,0.018701624703774726,-0.015526021984707908,0.007130091551149501
2023-04-25,-0.009480169806502734,0.004985109884727271,-0.020752354862529163,0.001484427527744825,-0.02676115723487792,-0.044005426144003476,0.0017167577912497072,-0.03487276836944828,-0.0350685390001896,-0.01992800271878219,-0.028229480352060462,-0.017551199488601982,-0.03140198940966967,-0.0042621594642599705,-0.023316818014523715,-0.0217172687085297,-0.02169118506403655,-0.008366137968448413,-0.015165190153983838,-0.016263179060319145,-0.022045040151822078,-0.014627186064862786,-0.016895610730489126,0.00845763302388717,-0.021285347408528384,0.003675412005294412,0.002460408684692786,-0.01722193131627345,-0.020208495342588485,-0.013110333515976133,-0.017760376216803035,-0.004175836494458209,-0.026650010913182698,0.009122527131446713,-0.02198346026495346,-0.0015648331655310592,0.0038792640695235405,-0.011165779884578992,-0.028914338381679748,-0.01668360396537475,-0.005780632233992677,0.0,-0.024933437520693342,0.00507573792237564,-0.024011034947958285,-0.02279402430767282,-0.023290499596059548,-0.01555582499238235,-0.01986035608372005,-0.019305513733329508,-0.03006804940552862,-0.014565006908032436,0.02244167366404263,-0.014639235307683499,0.00025554770812222737,0.0034509632711608425,-0.03437055751527187,-0.02852387514073562,-0.013461369586787265,0.0004572239565636346,-0.02540985417667613,-0.0016206389702428728,0.0008230746589501681,-0.0011416877024572857,-0.04618350117140094,-0.011633104865311444,-0.037711891121732476,0.006076290982072565,-0.013712682221151682,0.005376400560657815,-0.021952046850442726,-0.00782037304971894,-0.014315183703273745,-0.03444131361723403,0.1050052610957546
2023-04-26,-6.125202544781519e-05,-0.018977960937859042,-0.01782617007811287,-0.022826874569424636,-0.002715823607280117,0.025216362849918763,-0.025101112446326457,0.023224398457013323,0.005498295993179269,-0.009416934945467007,-0.0025654502662964176,0.004145883907701203,-0.013966679931195857,-0.03211609973910047,-0.02195102334127394,-0.011223304757505543,-0.036603103033010724,-0.010351453214779361,-0.015995453509392632,-0.01705745839828322,0.004448009704578478,-0.017972194598175947,-0.014387267485452673,-0.014034233137748093,-0.008694594325515106,-0.018981825968379846,-0.004171199318677286,-0.02291385280430344,-0.0013491812639115392,-0.00863867403073561,-0.02827029418515164,-0.026160664702567654,0.00586914854255724,-0.015619693942348089,-0.01788222912805969,-0.004709705076324802,-0.02252059942601806,-0.02979308879014829,-0.0046533887411923805,-0.004814350571525014,-0.006020992632711492,0.003116971532431689,0.008874056066693359,-0.026962808384415442,0.004306089759637835,0.06993145446391094,0.048347970403005154,-0.04938775941198483,-0.004349840124905498,-0.006599596911609859,0.026882735586217038,-0.0037280082797880895,-0.006186458093725502,-0.017958414941156273,-0.01164114527856423,-0.0049773091763562274,0.003893327495355926,0.000963885100461961,-0.03431443961252847,0.019293274731211507,-0.024396404361564292,-0.018967568766265968,-0.023375145938051546,-0.01786264560835337,-0.028203105205720558,-0.04402465397224694,-0.02953635463691553,-0.018402906273304712,-0.006291783959762592,-0.010240075992132289,-0.02724826441566181,-0.004364028604385186,-0.009225473488515483,0.010544917349681637,0.004255321468759127
2023-04-27,0.02799957561209514,-0.08328790217881399,0.02276543077957351,0.006052227696581315,0.012343025518771849,0.017303465034101153,0.00642807441189612,0.04507277127081395,0.03253052882776611,0.0035961776670901126,0.017379520359979653,0.014716546750400244,0.015698753710449844,-0.006045805477611448,0.0036212375707097913,-0.008640775316216782,0.006172018364703903,0.09774636937195157,0.007535847613552864,0.013274321494885574,0.02281634201101023,0.005827160911691217,0.03378760071987147,0.011323698391076099,0.0015550245237369027,-0.0002337191071920159,0.0021129262655032468,0.01904619702768244,0.03672927144051474,0.01486406854564894,0.020137714689469937,0.039593263004650256,0.027501390366264426,0.002334207649668982,0.013368530939936847,0.0020437249742224,0.0367367506825911,0.007295476571327132,0.04229743752052655,0.01866547672346944,0.01697239220710635,0.015550299618878887,0.13037456876064088,0.015136590828034376,0.020370006926127213,0.03152563801172901,0.014318515706026068,0.02374718838998373,0.01452876871373738,0.014907622149039476,0.009966523371677406,0.01409289517844135,0.006080815314051001,0.00284327307772363,0.012152672601645306,0.006293877411254467,0.030207926823782528,-0.0021044493209930264,0.017354676586961285,0.011417654174302749,0.0037602699776047863,0.012594184428114729,0.011339608782229987,0.023557520648386676,0.018381082418794423,0.041032719267455574,0.00491307144603178,0.015451024123667877,0.00376224739937738,0.049409276117140695,0.005055632921863135,0.003109759561867626,0.011882415078901379,0.027588012283287236,-0.10100574225300608
2023-04-28,0.0075126295057945285,0.0150008722298724,0.01639595607313704,-0.004211133552488497,0.012015705443238208,0.021832214336793086,-0.0024994555581883855,-0.040605781087400955,0.012037163492382102,0.012997171077749673,0.018074823760116442,0.003585128143033444,0.013409160794953023,-0.012502106209519841,0.01175366880517712,0.020641224986606574,0.026661162512066235,0.02694964313860099,0.01626529919844655,0.0038824967964762648,0.01232538833812686,0.009716103604388179,0.025392949710403907,-0.0059492499224236325,0.03085539495235153,-0.007979629671657471,0.00010047797590101929,0.009237465136640446,-0.002326311821512493,0.005371954140865157,0.02223970175205665,0.00617387248964297,0.03940100112546568,0.004285071218869364,0.008645291440002097,0.007353347679657928,0.01401680301373655,-0.0011835426545204891,0.009952252677522975,0.01687706607487643,0.0034888185330505033,-0.004716778823843339,0.007350501293125641,0.002688409671791144,0.005405146682357919,0.007939931571965507,0.03897206292076097,0.010230797396668847,0.012443386990689469,0.00808191978838216,0.019027397442646705,-0.0033727771939362754,0.006306247713732061,0.003864710432108874,-0.0005754866403710487,0.011570134286711557,0.023026271476258783,0.024966568504867743,0.005118475751496181,0.013566098264219324,0.02857014284379238,0.0005438059101343599,-0.003851256309234091,0.0034011939881216486,0.021641362478100314,0.025394246651119615,0.011610288752777075,0.0032973790133849308,0.016113318517233792,0.0010305262712992811,0.0022665464723254343,-0.002712163310829851,0.012842016929128338,-0.021777426081149513,-0.07623323649860547
